district,ratio,eco
서울특별시 종로구,51.04880218,71
서울특별시 중구,50.88868629,83
서울특별시 용산구,52.12836847,67
서울특별시 성동구,50.57061284,62
서울특별시 광진구,51.13123476,59
서울특별시 동대문구,50.20435289,72
서울특별시 중랑구,50.50687373,50
서울특별시 성북구,51.78180529,57
서울특별시 강북구,51.36122355,42
서울특별시 도봉구,51.48651329,53
서울특별시 노원구,51.76726662,50
서울특별시 은평구,51.73793394,54
서울특별시 서대문구,52.16469328,62
서울특별시 마포구,52.4434262,56
서울특별시 양천구,50.99137156,42
서울특별시 강서구,51.59478812,44
서울특별시 구로구,50.5152707,37
서울특별시 금천구,49.25193038,49
서울특별시 영등포구,50.46839819,55
서울특별시 동작구,51.08206329,48
서울특별시 관악구,49.6252417,46
서울특별시 서초구,52.57849473,50
서울특별시 강남구,52.80479118,62
서울특별시 송파구,51.69346042,65
서울특별시 강동구,50.70065328,54
부산광역시 중구,51.35512156,71
부산광역시 서구,51.44261935,49
부산광역시 동구,51.15266201,38
부산광역시 영도구,49.86964266,43
부산광역시 부산진구,51.63859001,36
부산광역시 동래구,51.37417031,45
부산광역시 남구,51.0434596,39
부산광역시 북구,50.64737855,32
부산광역시 해운대구,51.87653856,37
부산광역시 사하구,50.45797218,40
부산광역시 금정구,51.22055208,36
부산광역시 강서구,48.99681574,35
부산광역시 연제구,51.54754352,40
부산광역시 수영구,52.64673009,55
부산광역시 사상구,49.75644802,32
부산광역시 기장군,51.66495254,28
제주특별자치도 제주시,50.46582111,46
제주특별자치도 서귀포시,50.05535794,49
